,PlayerID,Player,Team,Position,Headshot,Team Logo,playerStripped,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,8470151,Jay Bouwmeester,FLA,D,https://assets.nhle.com/mugs/nhl/20072008/FLA/8470151.png,https://assets.nhle.com/logos/nhl/svg/FLA_19992000-20152016_light.svg,jaybouwmeester,40,1983-09-27,Edmonton,AB,CAN,CAN,76,206,2002,FLA,1,3,3
1,8467096,Dan Boyle,TBL,D,https://assets.nhle.com/mugs/nhl/20072008/TBL/8467096.png,https://assets.nhle.com/logos/nhl/svg/TBL_20072008-20102011_light.svg,danboyle,47,1976-07-12,Ottawa,ON,CAN,CAN,71,194,-,-,-,-,-
2,8465009,Zdeno Chara,BOS,D,https://assets.nhle.com/mugs/nhl/20072008/BOS/8465009.png,https://assets.nhle.com/logos/nhl/svg/BOS_20072008_light.svg,zdenochara,46,1977-03-18,Trencin,,SVK,SVK,81,250,1996,NYI,3,4,56
3,8457063,Nicklas Lidstrom,DET,D,https://assets.nhle.com/mugs/nhl/20072008/DET/8457063.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,nicklaslidstrom,53,1970-04-28,Vasteras,,SWE,SWE,73,192,1989,DET,3,11,53
4,8470602,Dion Phaneuf,CGY,D,https://assets.nhle.com/mugs/nhl/20072008/CGY/8470602.png,https://assets.nhle.com/logos/nhl/svg/CGY_19941995-20192020_light.svg,dionphaneuf,38,1985-04-10,Edmonton,AB,CAN,CAN,75,222,2003,CGY,1,9,9
5,8459424,Chris Pronger,ANA,D,https://assets.nhle.com/mugs/nhl/20072008/ANA/8459424.png,https://assets.nhle.com/logos/nhl/svg/ANA_20062007-20122013_light.svg,chrispronger,49,1974-10-10,Dryden,ON,CAN,CAN,78,188,1993,HFD,1,2,2
6,8459462,Bryan McCabe,TOR,D,https://assets.nhle.com/mugs/nhl/20072008/TOR/8459462.png,https://assets.nhle.com/logos/nhl/svg/TOR_19871988-20152016_light.svg,bryanmccabe,48,1975-06-08,St. Catharines,ON,CAN,CAN,74,223,1993,NYI,2,14,40
7,8458951,Sergei Gonchar,PIT,D,https://assets.nhle.com/mugs/nhl/20072008/PIT/8458951.png,https://assets.nhle.com/logos/nhl/svg/PIT_20062007-20152016_light.svg,sergeigonchar,49,1974-04-13,Chelyabinsk,,RUS,RUS,74,210,1992,WSH,1,14,14
8,8458494,Sergei Zubov,DAL,D,https://assets.nhle.com/mugs/nhl/20072008/DAL/8458494.png,https://assets.nhle.com/logos/nhl/svg/DAL_19941995-20122013_light.svg,sergeizubov,53,1970-07-22,Moscow,,RUS,RUS,73,198,1990,NYR,5,1,85
9,8470281,Duncan Keith,CHI,D,https://assets.nhle.com/mugs/nhl/20072008/CHI/8470281.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,duncankeith,40,1983-07-16,Winnipeg,MB,CAN,CAN,73,192,2002,CHI,2,24,54
10,8467400,Francois Beauchemin,ANA,D,https://assets.nhle.com/mugs/nhl/20072008/ANA/8467400.png,https://assets.nhle.com/logos/nhl/svg/ANA_20062007-20122013_light.svg,francoisbeauchemin,43,1980-06-04,Sorel,QC,CAN,CAN,71,208,1998,MTL,3,17,75
11,8470085,Paul Ranger,TBL,D,https://assets.nhle.com/mugs/nhl/20072008/TBL/8470085.png,https://assets.nhle.com/logos/nhl/svg/TBL_20072008-20102011_light.svg,paulranger,39,1984-09-12,Whitby,ON,CAN,CAN,75,210,2002,T.B,6,17,183
12,8469770,Dennis Wideman,BOS,D,https://assets.nhle.com/mugs/nhl/20072008/BOS/8469770.png,https://assets.nhle.com/logos/nhl/svg/BOS_20072008_light.svg,denniswideman,40,1983-03-20,Kitchener,ON,CAN,CAN,72,202,2002,BUF,8,12,241
13,8466285,Brian Campbell,SJS,D,https://assets.nhle.com/mugs/nhl/20072008/SJS/8466285.png,https://assets.nhle.com/logos/nhl/svg/SJS_20072008_light.svg,briancampbell,44,1979-05-23,Strathroy,ON,CAN,CAN,70,192,1997,BUF,6,22,156
14,8467496,Andrei Markov,MTL,D,https://assets.nhle.com/mugs/nhl/20072008/MTL/8467496.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,andreimarkov,44,1978-12-20,Voskresensk,,RUS,RUS,72,200,1998,MTL,6,17,162
15,8462225,Filip Kuba,TBL,D,https://assets.nhle.com/mugs/nhl/20072008/TBL/8462225.png,https://assets.nhle.com/logos/nhl/svg/TBL_20072008-20102011_light.svg,filipkuba,46,1976-12-29,Ostrava,,CZE,CZE,76,225,1995,FLA,8,10,192
16,8465200,Tomas Kaberle,TOR,D,https://assets.nhle.com/mugs/nhl/20072008/TOR/8465200.png,https://assets.nhle.com/logos/nhl/svg/TOR_19871988-20152016_light.svg,tomaskaberle,45,1978-03-02,Rakovnik,,CZE,CZE,73,212,1996,TOR,8,15,204
17,8466142,Eric Brewer,STL,D,https://assets.nhle.com/mugs/nhl/20072008/STL/8466142.png,https://assets.nhle.com/logos/nhl/svg/STL_20002001-20072008_light.svg,ericbrewer,44,1979-04-17,Vernon,BC,CAN,CAN,76,216,1997,NYI,1,5,5
18,8465058,Michal Rozsival,NYR,D,https://assets.nhle.com/mugs/nhl/20072008/NYR/8465058.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,michalrozsival,45,1978-09-03,Vlasim,,CZE,CZE,73,210,1996,PIT,4,25,105
