,PlayerID,Player,Team,Position,Headshot,Team Logo,playerStripped,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,8474590,John Carlson,WSH,D,https://assets.nhle.com/mugs/nhl/20232024/WSH/8474590.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,johncarlson,34,1990-01-10,Natick,MA,USA,USA,75,215,2008,WSH,1,27,27
1,8474563,Drew Doughty,LAK,D,https://assets.nhle.com/mugs/nhl/20232024/LAK/8474563.png,https://assets.nhle.com/logos/nhl/svg/LAK_20192020-20232024_light.svg,drewdoughty,34,1989-12-08,London,ON,CAN,CAN,73,210,2008,L.A,1,2,2
2,8476875,Mike Matheson,MTL,D,https://assets.nhle.com/mugs/nhl/20232024/MTL/8476875.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,michaelmatheson,30,1994-02-27,Pointe-Claire,QC,CAN,CAN,74,193,2012,FLA,1,23,23
3,8477495,Seth Jones,CHI,D,https://assets.nhle.com/mugs/nhl/20232024/CHI/8477495.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,sethjones,29,1994-10-03,Arlington,TX,USA,USA,76,213,2013,NSH,1,4,4
4,8480839,Rasmus Dahlin,BUF,D,https://assets.nhle.com/mugs/nhl/20232024/BUF/8480839.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,rasmusdahlin,24,2000-04-13,Trollhattan,,SWE,SWE,75,202,2018,BUF,1,1,1
5,8482122,Brock Faber,MIN,D,https://assets.nhle.com/mugs/nhl/20232024/MIN/8482122.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,brockfaber,21,2002-08-22,Maple Grove,MN,USA,USA,73,200,2020,L.A,2,14,45
6,8479325,Charlie McAvoy,BOS,D,https://assets.nhle.com/mugs/nhl/20232024/BOS/8479325.png,https://assets.nhle.com/logos/nhl/svg/BOS_20232024_light.svg,charliemcavoy,26,1997-12-21,Long Beach,NY,USA,USA,73,209,2016,BOS,1,14,14
7,8475167,Victor Hedman,TBL,D,https://assets.nhle.com/mugs/nhl/20232024/TBL/8475167.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,victorhedman,33,1990-12-18,Ornskoldsvik,,SWE,SWE,79,244,2009,T.B,1,2,2
8,8480069,Cale Makar,COL,D,https://assets.nhle.com/mugs/nhl/20232024/COL/8480069.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,calemakar,25,1998-10-30,Calgary,AB,CAN,CAN,71,187,2017,COL,1,4,4
9,8471724,Kris Letang,PIT,D,https://assets.nhle.com/mugs/nhl/20232024/PIT/8471724.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,krisletang,37,1987-04-24,Montreal,QC,CAN,CAN,72,201,2005,PIT,3,1,62
